epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2818,2.12681,4.32991,2.0428,0.00476,0.5857,0.11945,0.04839,2.14421,4.17509,1.9626,0.000327957,0.000327957,0.000327957
2,52.0478,2.10724,3.8032,2.02081,0.14002,0.11009,0.10023,0.03267,2.25679,3.41379,2.30119,0.000648197,0.000648197,0.000648197
3,72.9497,2.12418,3.54944,2.10226,0.60683,0.21846,0.16154,0.06378,2.39442,5.01731,2.45488,0.000955237,0.000955237,0.000955237
4,95.0957,2.07834,3.38739,2.06234,0.63251,0.14984,0.10531,0.03567,2.33825,3.69288,2.33942,0.0009406,0.0009406,0.0009406
5,116.813,2.07749,3.22855,2.03449,0.12377,0.2383,0.09302,0.04075,2.28692,2.95375,2.22906,0.0009208,0.0009208,0.0009208
6,137.358,2.02181,3.03173,2.0519,0.13997,0.33601,0.17652,0.06924,2.29092,3.20486,2.34053,0.000901,0.000901,0.000901
7,157.669,1.98723,2.94421,1.98831,0.15497,0.18324,0.13882,0.05847,2.19478,2.88604,2.14071,0.0008812,0.0008812,0.0008812
8,179.646,1.92133,2.84528,1.96297,0.17535,0.23202,0.1698,0.05585,2.20933,2.77821,2.21867,0.0008614,0.0008614,0.0008614
9,201.339,1.90915,2.7729,1.97981,0.38876,0.23237,0.16896,0.05968,2.27871,2.80326,2.34929,0.0008416,0.0008416,0.0008416
10,221.553,1.91568,2.61479,1.93003,0.2968,0.2164,0.19673,0.09146,2.22357,3.07831,2.28616,0.0008218,0.0008218,0.0008218
11,241.816,1.88646,2.58417,1.941,0.20266,0.27858,0.21791,0.10435,2.11825,2.66229,2.19638,0.000802,0.000802,0.000802
12,262.934,1.84858,2.47613,1.90418,0.19626,0.27797,0.15838,0.06107,2.2811,2.80803,2.22974,0.0007822,0.0007822,0.0007822
13,284.406,1.85972,2.51288,1.89954,0.39962,0.27044,0.22356,0.0968,2.20047,2.58739,2.25728,0.0007624,0.0007624,0.0007624
14,304.873,1.85249,2.43173,1.88897,0.24893,0.28183,0.18798,0.09358,2.21179,2.63055,2.20092,0.0007426,0.0007426,0.0007426
