epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.372,2.3041,4.67653,2.05539,0.00296,0.34614,0.03051,0.01302,2.11995,4.95931,1.89983,0.000269954,0.000269954,0.000269954
2,381.766,2.22903,4.26674,1.88949,0.43974,0.14076,0.07345,0.02198,2.33647,4.88752,2.03334,0.000511477,0.000511477,0.000511477
3,563.62,2.13857,3.91073,1.83415,0.59032,0.0687,0.0684,0.02492,2.29077,4.72026,1.94754,0.000716349,0.000716349,0.000716349
4,744.008,2.13051,3.74369,1.90774,0.50167,0.08039,0.06754,0.02599,2.33588,4.93615,2.12557,0.000668066,0.000668066,0.000668066
5,926.609,2.07131,3.59804,1.84045,0.13515,0.17662,0.10549,0.04762,2.25825,5.06939,2.03494,0.000613088,0.000613088,0.000613088
6,1103.38,2.02193,3.74124,1.83942,0.24776,0.23329,0.13359,0.05914,2.22442,4.12654,2.00876,0.00055811,0.00055811,0.00055811
7,1279.89,1.97148,3.54287,1.87143,0.36983,0.26906,0.13944,0.05634,2.22156,4.10772,2.03738,0.000503132,0.000503132,0.000503132
8,1458.38,1.96473,3.42589,1.86368,0.10376,0.2541,0.12264,0.04523,2.19904,3.93562,2.06796,0.000448154,0.000448154,0.000448154
9,1638.21,1.89229,3.27514,1.82864,0.40351,0.22325,0.15722,0.0679,2.11908,3.72758,1.94794,0.000393176,0.000393176,0.000393176
10,1815.72,1.88817,3.19146,1.83085,0.16745,0.24204,0.15158,0.06766,2.08235,3.75704,1.91728,0.000338198,0.000338198,0.000338198
11,2020.52,1.80919,3.09658,1.76834,0.12941,0.26042,0.16122,0.07397,2.13302,3.68436,1.94284,0.00028322,0.00028322,0.00028322
12,2193.19,1.78575,2.97225,1.71711,0.30581,0.25157,0.15025,0.05691,2.05986,3.72031,1.91481,0.000228242,0.000228242,0.000228242
13,2363.42,1.75361,2.90069,1.70408,0.3226,0.2511,0.18546,0.07774,2.03092,3.53314,1.898,0.000173264,0.000173264,0.000173264
14,2531.54,1.72041,2.78348,1.68111,0.21155,0.28621,0.19369,0.08441,2.03994,3.53712,1.8861,0.000118286,0.000118286,0.000118286
15,2705.88,1.69069,2.65968,1.65548,0.23272,0.2694,0.20009,0.09388,2.03573,3.50638,1.86051,6.3308e-05,6.3308e-05,6.3308e-05
